"","MD_ULRG_01_A","MD_ULRG_02_A","MD_ULRG_03_A","MD_ULRG_04_A","MD_ULRG_05_A","MD_ULRG_06_A","MD_ULRG_07_A","MD_ULRG_08_A","MD_ULRG_09_A","MD_ULRG_10_A","MD_ULRG_11_A","MD_ULRG_12_A","MD_ULRG_13_A","MD_ULRG_14_A","MD_ULRG_01_B","MD_ULRG_02_B","MD_ULRG_03_B","MD_ULRG_04_B","MD_ULRG_05_B","MD_ULRG_06_B","MD_ULRG_07_B","MD_ULRG_08_B","MD_ULRG_09_B","MD_ULRG_10_B","MD_ULRG_11_B","MD_ULRG_12_B","MD_ULRG_13_B","MD_ULRG_14_B"
"153",9717,10070,12694,4601,6216,8444,6931,39719,3387,3170,11616,5927,23524,8366,6266,7496,32126,2658,10180,8437,7578,4073,3797,8463,4974,6914,28882,15163
"154",3182,4854,4093,12138,5132,8479,4976,11813,19041,7571,6105,6201,5061,7960,24181,6673,2859,3739,3831,49303,2961,8298,7285,4459,2745,13485,3133,3025
"155",4253,15525,4344,2499,6168,18523,7286,14765,2747,3064,2898,2603,6639,50439,23414,7286,18495,2445,6438,35511,5188,3896,3290,12313,4190,2506,9735,17247
"156",1e+05,3455,3189,8448,3264,7684,13204,3652,2783,11876,17299,3633,3275,6176,8053,7921,12389,14667,7983,5173,3655,15548,19326,5454,3216,14257,20538,3070
"157",12341,6704,4645,3181,38445,10451,10343,4153,6897,11013,15169,4154,7286,18016,4076,3033,3121,9228,3108,12349,2915,6567,3249,7939,3527,5158,2299,6943
"158",4485,5662,50875,4144,9547,2495,2917,3095,12049,3237,3335,5661,19288,12143,2710,9471,4603,37148,4399,6602,4424,5333,7517,66673,5891,18572,12579,11128
"159",8703,5585,17735,7080,17753,5931,10763,10256,70287,16656,34068,14519,27751,9085,45771,3520,3981,4020,6817,9825,16427,4957,2557,15995,3739,32373,15613,4175
"160",11910,4561,2698,3290,5783,10023,11645,17710,6744,6104,3396,4628,47335,15168,28190,11382,3634,6481,1e+05,7536,4100,6934,5407,16471,15156,12098,3434,16716
"161",10226,8846,3929,5770,5001,23690,11143,40834,9605,9157,6100,13369,3247,4616,10607,4830,21664,6456,3843,6405,5100,66390,19208,14711,4956,4608,8907,47562
"162",6889,4558,4473,16994,6063,2575,38675,4380,7831,17009,9198,13342,28196,22462,2948,4716,11989,3916,8833,19043,5336,5359,3025,39512,11891,66102,28007,4152
"163",7642,7040,38061,4456,10798,13670,2416,3079,26030,4708,8719,17418,32538,4188,7520,42776,23611,4008,36245,3466,6120,7383,19499,9828,8020,3845,3648,8198
"164",19927,10167,6217,3893,4140,6296,2472,14624,5251,4077,2685,11861,2558,14723,3908,5480,15343,4290,2870,7083,4648,2605,6086,5262,8211,15983,20490,4714
"165",33276,3158,4050,1e+05,6233,10599,18138,19971,21510,6156,8735,50695,12471,18649,20774,3164,10390,5201,11214,2541,3068,7099,8721,5641,3672,1e+05,3745,33389
"166",16190,4773,70188,16563,9943,7887,11742,4746,7522,3519,4189,9492,2951,6482,12506,56753,9616,8172,26179,7295,9066,11718,4116,3690,14644,3035,3081,5144
"167",8423,4434,2948,9750,11746,39247,10981,7406,57353,71808,15153,49092,2583,12859,4176,5766,23126,12478,5940,9023,16351,25972,4089,9825,3766,4247,15854,7603
"168",5521,2574,56683,13199,6587,6960,4692,16921,7461,10397,21606,12851,11038,7699,11866,7776,6354,1e+05,5531,7021,3623,22198,54492,4970,29598,11814,4706,7521
"169",44779,5080,24097,6808,4474,5479,4162,15106,3267,5716,1e+05,2704,7599,4132,4260,15251,18830,4431,4063,3009,18182,4325,1e+05,3289,7010,2974,7992,6104
"170",3850,4471,4762,5015,6288,96303,30332,3142,24267,23012,3107,12545,12579,3395,36916,3306,21023,3857,4268,43746,19127,20717,2691,5374,8298,3544,6250,77790
"171",4019,2534,2629,43425,5706,9825,2531,3502,11357,11898,4898,15156,12628,12487,55511,12321,6740,3331,2793,20381,4122,8535,36969,6286,7013,5583,4898,3917
"172",42006,16140,17937,4298,11779,11300,19493,19833,10690,8297,10146,14027,5248,6970,31536,5588,17019,30079,3492,8764,8699,5863,8860,5717,6496,11736,4388,5188
"173",1e+05,4294,1e+05,40817,38618,3823,4919,8723,2987,5518,9529,18480,9636,8691,3852,2879,23481,47993,7348,5701,5318,4626,3302,3020,2458,13404,9414,2585
"174",17284,5225,24717,18045,21942,6804,26898,10188,2488,5404,10868,6252,4817,11745,4810,28409,19484,12049,2820,2527,3989,7290,86277,19332,2983,6111,10943,16530
"175",8954,14253,4621,8991,22593,4952,16242,7861,11964,9363,16502,42847,25972,14201,6835,11949,3291,8759,17362,3900,5648,10633,22959,9713,16099,3305,12218,9104
"176",2766,1e+05,6144,7327,3914,3463,9254,8944,22403,4026,8932,23948,10914,26919,68878,10914,16334,7881,41688,22053,3671,6459,5608,2670,9688,3954,6457,4278
"177",4831,3066,11988,5334,7421,23431,14596,5808,4774,16573,11690,12597,9143,13401,10989,8933,3350,8062,8305,73551,4335,37311,4122,15102,8339,24926,5702,9442
"178",4783,3006,10908,5350,5622,18565,5412,7745,22707,15489,5336,17699,4012,4334,27031,3501,3886,5724,6279,4622,81511,4607,4510,12186,12375,6287,9151,5091
"179",2711,44209,13370,11716,15237,24522,10116,6355,3406,2920,8509,11864,7006,7983,4151,4783,59832,6996,4678,16201,7082,9301,3823,5349,3118,9938,19864,3911
"180",6746,3334,8526,2409,24810,6614,9871,1e+05,4977,30275,9581,3174,17841,2516,3173,7054,6843,12749,3843,27968,12476,4735,2409,6860,5849,5542,5211,2821
"181",22898,8175,6281,7166,6682,5509,5754,15486,8503,3284,64371,16913,24659,5637,13093,1e+05,5106,2910,4468,12735,9751,7842,4558,16360,4256,37044,1e+05,30426
"182",5900,10112,1e+05,7355,20688,5768,4205,18164,5362,7351,6655,7981,22939,2529,7674,3182,3536,8895,10748,6790,3431,19146,15378,4549,12224,13053,16656,23710
"183",4839,2687,43244,6749,2727,9251,63681,6977,7314,2571,9886,4394,13339,10830,23507,4941,16703,2940,6340,7895,3331,4432,3048,4843,13133,4235,33599,21234
"184",20535,16292,9167,11028,15767,2527,4045,51039,9435,9873,11513,22169,27737,13386,11375,5980,3559,4306,26299,6689,14563,2412,5761,6398,13955,9016,5809,5133
"185",4184,3767,2617,2767,5276,12006,4675,10643,5516,6425,27505,12754,13546,7367,2885,4121,7664,2585,7513,2965,43547,2693,9423,2648,16768,10948,30028,8182
"186",52004,5233,2692,10333,9412,6825,3859,4644,9474,4356,21543,2620,13177,9215,5195,11792,5540,19705,4528,2515,6487,3557,25178,2843,2841,10801,20452,16447
"187",6905,2535,13215,3229,8785,3728,18063,16705,13910,11560,12684,5556,11440,5336,3884,8224,6943,2775,3651,15378,10608,3280,6578,9590,20349,2686,10340,9219
"188",17076,2986,12030,12296,4573,2431,2691,11942,20500,10688,12338,16971,13982,9505,3683,11481,4070,2508,12520,8425,6498,2668,2955,8843,29222,8846,9530,21873
"189",80797,6354,2699,4871,11531,5754,6184,7358,2809,11667,4150,5669,4574,5554,8068,19465,10023,11948,13999,40298,2635,8425,6781,14152,5012,7893,3765,8580
"190",5719,7910,3537,3642,18004,2584,4246,12240,6635,12897,6569,4223,6078,16240,6398,3345,43981,13865,4840,48542,7502,19130,22795,12457,6452,7418,2477,24076
"191",18243,12709,9761,5448,7073,13367,16949,2562,5403,6474,4784,20673,6764,3107,18585,11642,23036,9458,11712,6717,9959,11197,3316,7342,12875,15358,2158,6621
"192",3198,4776,7208,4877,6775,13275,6108,11865,13886,5076,15667,27645,11211,5659,5377,10353,3093,3378,7190,14532,4010,8126,2458,3376,33226,36590,4082,32873
"193",5669,2864,11209,10553,9593,5762,24472,5873,5955,6375,12772,98836,5333,10831,8597,27513,4733,4313,13612,9549,18748,24525,8056,4355,28731,6848,16112,10799
"194",26560,13862,5071,70892,9936,7853,2554,5534,9598,7054,7277,6173,2650,8193,10531,36949,14059,3808,3585,2814,6737,10070,5110,18506,7665,11985,2291,17905
"195",15737,79604,2691,4482,38238,2561,12091,2501,20309,6421,4566,8786,6138,32918,39555,4595,26953,3337,51484,4432,9981,4861,16280,10283,4181,9223,21121,3155
"196",4544,7971,5046,24438,7911,4584,11714,18394,6312,7587,4542,8997,6834,4275,8569,6280,12436,6517,12219,9251,3383,9939,8273,3484,3224,4604,14014,18078
"197",20941,10705,8442,49002,9210,7364,3078,22963,4469,4148,15106,2791,9445,21052,36539,7943,4062,27101,21658,9524,9043,4587,8595,16280,17304,3168,8265,5884
"198",34352,23638,8919,7309,8918,27750,17813,12056,3864,16701,9931,25666,3479,6588,16338,8813,5279,4156,5307,5808,23255,5644,15856,4124,5061,6006,17853,13708
"199",5862,8817,33051,4610,16973,7510,3935,12870,22727,3506,4710,13743,18248,13793,6105,14054,5829,6419,7603,3907,1e+05,16599,23711,14235,11212,15642,5455,15318
"200",6377,9111,2520,4232,30379,3286,17510,3708,24467,6210,4962,13259,2913,12064,5384,14910,10252,4679,20265,5031,6363,10396,7209,13693,11544,30453,19219,5595
"201",13418,7317,15552,14936,8539,4892,20625,12521,5339,2795,15108,5417,6700,1e+05,3753,8745,2980,2446,11572,5811,28333,10749,2492,7061,3086,11660,14625,12098
"202",8525,5911,33531,5637,4488,6402,10867,1e+05,11566,6283,8588,9443,3517,8076,3978,10502,8323,5946,4097,3054,2695,14062,2736,8412,2425,7895,2760,22203
"203",13745,3249,3964,10233,28656,14841,3426,5623,4098,5965,19288,26267,4919,2815,3133,5503,3961,11057,3552,5628,6189,3419,12243,3048,15586,9999,2863,6776
"204",85601,29034,32811,11905,6925,11243,7212,9705,7857,10917,15901,34491,18463,4308,9757,32126,3690,9443,1e+05,15396,2408,11817,14208,2990,3875,3657,2790,6831
"205",9901,17100,8259,5999,2474,21928,9855,8124,3292,6206,5903,18693,19535,6066,22656,7270,6816,6768,6054,2816,11199,21185,2913,2637,8860,6408,26359,31187
"206",53042,6305,2525,4242,7518,5898,7489,3252,22371,2680,10441,3410,18231,24492,4249,4016,3275,38016,6669,4513,9979,5447,15302,4482,9016,26229,15221,29405
"207",13221,15091,16663,5713,40678,8337,4352,7611,19321,14131,5189,19264,5315,7605,24594,6732,5002,12591,2939,6466,18288,13744,50457,3253,30781,17699,8720,4309
"208",3307,5210,7727,15406,14721,25867,33284,4287,4194,8061,1e+05,5763,8622,9257,2759,8803,9764,13083,5048,24690,1e+05,40549,5113,28710,2874,45251,9935,11416
"209",3314,4021,39225,8248,12786,20145,16703,4094,18894,2417,3995,4699,10213,2580,1e+05,19716,16302,10711,9081,11317,21757,5167,4190,14098,54054,20096,1e+05,29243
"210",10170,42669,14905,16507,10472,3568,2428,2905,7070,4837,27608,3620,9349,14158,6531,3336,3219,2950,8944,26261,11681,2544,43304,4388,4359,10123,11138,17552
"211",3300,3243,5873,6602,7883,4987,70155,12573,9928,10403,36265,3794,2621,4361,4766,20647,10818,2795,3989,4583,15938,3135,1e+05,40783,5076,7776,3131,4141
"212",2785,13029,13805,13686,4467,3435,7322,17558,25152,7631,4816,12480,9838,23364,7972,12948,14178,2867,14907,4891,10678,17619,62940,8440,6461,20183,13796,11192
"213",13965,26246,7756,3135,5679,11107,5820,16139,23703,12227,5284,4726,21393,5842,6603,24153,4751,5074,9811,6704,2966,4116,3763,5310,2951,5984,5223,3245
"214",8201,21686,5930,6333,3811,29834,7911,2530,6251,7492,19814,19842,14570,6533,6541,14288,4712,15768,10261,9037,5053,8322,3726,10334,23552,2800,28280,4183
"215",21464,15116,2609,4427,7196,53755,21950,6599,19908,20064,11614,7650,40364,20883,78874,10791,32636,40948,2772,11092,9521,5723,8895,10960,4169,10068,5634,26876
"216",19474,6492,2754,8983,2930,3046,3392,17656,2537,6750,11590,4341,4812,61365,6626,38579,17067,27716,8736,4155,3208,11275,15656,21623,5694,3265,3759,32294
"217",5315,8139,2489,2632,18498,5368,20168,8669,11505,14572,13114,5141,44482,3971,65190,23094,12785,24556,9824,5654,9900,18610,13659,97799,12096,6435,13404,10154
"218",10081,8268,12779,16502,6672,11019,11620,6166,3274,11137,27871,3662,3267,7484,13791,5955,57833,3186,7886,11465,9322,10539,18013,10037,7859,4078,8404,3007
"219",5109,12207,2789,38979,4500,3538,2618,7283,4631,6909,5428,7292,7079,5124,3793,48685,76264,24944,30957,2558,11628,2513,3758,3815,18324,12255,10875,6967
"220",7865,28249,3944,2629,14953,1e+05,10009,9453,3654,6911,34332,7910,6561,7989,3331,58822,2634,7064,40698,4499,5980,13882,2553,2840,8723,16053,5392,11150
"221",4201,2623,6828,2821,4082,3772,23590,10205,7552,3287,3410,17952,1e+05,13057,5881,2453,2973,11019,16540,4791,4889,2788,7473,7100,11511,8630,2259,6782
"222",5795,3239,3055,6989,45396,11391,9103,16882,84026,2642,6538,4561,8306,5004,14813,4334,9556,8187,22932,6452,3862,4364,4435,5730,2525,4959,2053,8139
"223",4980,8717,3299,12933,22200,2682,10687,24175,2616,44715,12664,5841,7802,11605,9123,15160,4302,10228,7799,2723,5901,9386,13368,5813,25517,5492,3421,55458
"224",6188,6718,9166,7760,4509,4381,7855,2514,13295,29028,9098,17164,18284,17755,13158,2581,63808,38270,6763,12373,8864,6305,4192,17216,38277,2940,2765,6035
"225",23643,7846,4883,3028,3778,2890,8389,5577,8474,13338,15119,3032,4846,2833,4602,1e+05,3323,11107,13417,6321,6507,1e+05,26738,8695,16661,11064,4887,3484
"226",2698,8173,8340,7401,58004,8135,8137,5544,4312,26414,3898,11746,8756,8433,5213,2620,3122,5486,4667,5921,6075,9927,7476,6041,7210,9397,14875,7620
"227",3954,36418,6486,10455,20191,7259,20344,8798,6826,2445,17069,5874,3246,19250,6625,2483,8544,26469,4887,4216,21843,9898,5194,23432,3859,29572,2030,2500
"228",13172,1e+05,17782,5310,12524,25244,16293,3031,3383,10919,21191,6492,2850,9211,7247,7461,84041,6725,2589,12086,13488,6103,24694,23461,4547,11349,13674,7146
"229",27445,7902,3935,5005,12652,3343,13672,3499,20910,4496,16598,12887,23062,4183,37931,18345,11022,17276,16131,8791,3021,24639,18222,22808,5920,17320,27616,12104
"230",13495,1e+05,4454,5651,17814,8973,10144,17257,2804,10138,5745,28919,5130,23977,8102,8578,4622,21328,16426,3777,6508,21337,7062,15930,5255,15119,7466,9132
"231",9761,3964,3801,9187,9422,3187,19963,9347,8227,6662,16699,4520,2963,5916,89792,9111,12487,24806,21299,18159,12279,19647,4472,1e+05,3283,4184,14980,7650
"232",8862,4593,16419,11118,22597,6603,31090,5349,40621,1e+05,20913,4898,7799,37535,4589,22930,3614,3305,18351,3945,13590,5449,9836,4023,13445,12744,3599,14232
"233",6140,35031,16263,2806,2957,6114,10888,4825,10689,11607,19829,10892,28721,20341,12145,1e+05,4979,7679,5753,12305,9553,13087,12966,12150,5031,12669,1e+05,7489
"234",5550,1e+05,4806,2626,5022,9538,2507,5676,7050,3220,17799,5690,11698,3464,28635,6267,6410,6660,3547,12191,12037,3413,25677,16477,3325,15364,3464,2666
"235",6260,5873,5149,14250,11482,3228,3087,20649,3458,26720,2542,10950,1e+05,3065,6080,4008,6041,7491,10094,8691,10162,7674,7336,10896,6194,2874,25807,9049
"236",53232,2840,12194,8315,2479,15159,16595,9219,8649,2614,3803,14573,5517,3819,3367,14921,4460,6002,3425,10109,3789,6354,6590,4551,6146,11386,10066,85307
"237",28372,29242,4222,4474,3333,3802,20888,10300,10756,4285,7851,18142,4330,11768,6852,6082,2478,14248,4100,3582,7181,2570,5107,3544,30001,5340,2780,21101
"238",9176,7184,25633,15369,1e+05,13710,8350,13354,5986,5065,14741,3317,8083,6548,6974,17375,16765,24129,9881,11724,4459,29467,2932,12402,7256,4364,16628,4976
"239",13517,3879,3583,1e+05,3525,18190,10964,4303,10507,9140,75054,3272,16859,25701,10370,3931,25631,6148,8038,29400,3568,16315,14385,6661,17144,39997,11255,5080
"240",6336,2467,2798,7744,3069,5602,3807,25338,33614,3977,3325,20455,2729,9186,19299,9392,24634,36696,15370,2481,5699,6473,2865,72967,5069,7074,21506,16137
"241",12979,34309,4958,9985,3413,3550,2572,7541,30701,9801,19811,11215,5474,12762,18070,5598,2699,6924,4154,9828,3769,13726,18204,17603,24445,9144,3474,2442
"242",1e+05,2554,10604,11530,3775,5922,5672,5455,6177,18590,7638,11323,15406,10049,14929,5135,7130,19590,12707,11553,5889,12581,19037,16202,22215,13589,5338,8046
"243",4505,2423,3620,10423,7239,5786,3808,2498,42741,9421,6725,7838,4898,12517,10637,6273,6042,21191,24384,27095,6930,9021,14144,10499,10786,10488,20824,11008
"244",2942,21161,9542,3627,6710,4967,17505,22353,4510,2839,2606,75091,2999,3688,16863,6336,15392,15053,22720,4877,4690,12875,3837,4172,27589,82192,14025,10228
"245",4803,19169,28839,24451,43566,3032,2635,10961,13069,5929,10475,6630,35239,26029,3497,54490,10457,3877,4193,6665,18419,4336,5841,8677,5814,6952,10856,3992
"246",5127,45454,93054,6239,9709,6043,9703,4390,3440,2598,13379,12895,2707,8398,13665,13396,3525,9677,7009,16457,18686,10155,31827,4948,4832,12469,3205,2775
"247",4894,8184,5190,3015,17189,1e+05,6893,4565,8903,4148,13093,2575,9139,4710,9273,12442,6990,6674,1e+05,23127,8448,20447,3357,4490,66822,4762,6993,2917
"248",2582,9395,2672,30264,4991,3919,5406,5097,15834,4210,9557,4543,18528,12834,3331,12087,3308,15620,2873,6002,6101,4848,16819,7608,4256,6354,10951,2566
"249",5095,9986,11049,3083,4418,2956,3856,5436,3723,7384,7857,20324,18911,2751,12873,2436,2560,16089,3122,20155,4034,2538,3109,15099,3113,8674,44595,16191
"250",38419,6208,2611,3022,12102,10407,15815,4157,5441,7429,36407,16136,14447,10523,4507,31885,6883,11011,15496,3368,19521,11361,11093,6133,9378,2496,3903,8053
"251",3657,9395,9040,4472,9929,3517,11611,4979,9813,20782,5277,15110,17072,13963,14357,14029,5155,7087,16119,21816,2497,2806,8648,1e+05,23855,2815,2182,7396
"252",7599,4864,16645,16572,40607,15387,32493,6050,3962,4289,6119,9513,3365,8646,54430,2768,3988,13132,7172,9733,5957,17577,56638,15753,4948,3294,5611,24491
"253",1e+05,29924,9261,5253,2628,16848,5177,9629,12999,2582,7792,17454,3521,22566,11679,5326,3022,2709,63586,35736,4085,12789,9962,6740,9777,5437,3079,32975
"254",5793,7576,20468,5108,22949,2555,7516,4877,15480,35424,13195,6654,2476,23231,8451,3984,5897,9825,2818,16812,7705,27492,8264,5679,15054,6144,21618,3219
"255",8074,5029,2728,4451,12924,2848,35688,2657,13105,6589,3016,4669,10377,12103,17251,15511,4526,8385,12240,25207,2501,2904,2733,3963,2503,11651,6257,9297
"256",2922,14957,2689,11871,3168,11198,14232,15054,11522,9735,3923,30887,58581,12084,2580,11936,4219,2592,4256,7548,10706,4412,4192,54105,3591,4244,2182,18327
"257",5123,51578,4131,3861,4006,6371,12507,9302,8477,61498,4747,9982,6435,3352,2949,35142,6594,71038,13695,4488,2592,33718,9586,3677,14097,12970,5632,9817
"258",13874,2908,2790,4922,11328,3821,2844,5104,14762,5249,14723,3963,3504,7047,17163,6833,13545,2422,5373,23169,6532,14362,4575,15088,3320,14166,3814,11824
"259",5790,10962,5001,3788,2512,2584,14156,3169,12418,3789,46050,4143,11237,14940,18877,5841,4238,7039,4294,28932,16568,37708,20378,4464,6798,22904,10436,6831
"260",24186,15765,6332,13422,50169,7606,4604,7499,3822,5701,25416,6612,2450,4432,7624,7927,9066,10728,6601,3298,2613,6818,7024,6668,6490,85243,21613,7800
"261",3101,16110,4069,3617,3779,14363,19564,26573,16819,10186,35500,10890,17390,19776,5327,3108,8916,4513,2924,3870,4045,27908,6201,15682,5643,13042,7382,4608
"262",15200,8893,4088,2819,5011,21123,28093,3265,7064,6958,6521,25751,6269,23581,11857,2953,4230,10749,3994,9523,27853,4992,25008,2593,5014,10914,5441,43708
"263",16267,16312,9411,6386,8458,7052,7271,3868,3337,30418,14692,15632,3857,8619,4761,14170,21984,48604,36910,50220,3169,7666,12866,26714,5442,3280,4754,3548
"264",17581,5891,8771,5436,13194,7106,2480,5153,32202,24879,17655,7933,9676,4097,4102,33992,1e+05,3712,11241,14150,20324,3210,26737,7151,8019,19233,12149,3273
"265",11210,3900,9925,3158,67371,53637,8841,7358,3675,3295,16982,80262,3635,17382,4924,7398,4480,12109,2514,6932,19090,21125,26851,12611,4456,2892,3830,23315
"266",4338,11906,5605,2778,59996,5074,17077,51749,9674,6278,4431,3469,18008,17743,8044,6999,8514,3519,2675,25882,5111,8114,4056,11842,29885,12359,8004,26455
"267",3789,8320,13559,3337,3364,16536,10608,36665,9598,5856,12721,12739,11919,17757,11945,13819,21749,6624,7859,27233,13815,4887,44239,5714,10609,3648,25264,7407
"268",1e+05,14574,4126,6372,32870,5505,9465,4048,4348,12167,5735,2495,7438,8783,29314,6290,2541,7681,6228,2839,4006,14859,36568,42265,10389,4037,15731,4533
"269",19089,3104,3734,9600,28257,10719,27254,9928,10237,33558,74132,15062,13343,15494,7618,10095,13443,9734,2634,3407,8007,6118,17096,9234,9460,3980,13342,7428
"270",16288,8116,4326,11591,10925,10330,9810,6000,4188,13907,7548,11231,16122,10895,22600,9120,8314,18769,3320,3923,4733,11621,3665,5940,2802,4124,90621,16204
"271",32325,6857,6436,10988,2787,3401,7674,66920,3032,2435,11252,39769,11641,6356,5245,33207,6585,19607,9391,2625,5609,5370,2952,5949,8418,2794,12668,8764
"272",6036,34615,17691,7719,10216,19478,9577,35123,5502,48483,10510,10100,2459,13849,8637,8655,10221,6937,24087,11547,4779,3197,18248,7295,7471,8108,3425,9023
"273",38010,7012,2882,8463,8334,5975,1e+05,45001,2701,5219,2979,5901,4572,17712,20918,12858,13699,7728,15125,15285,11778,3879,3617,11004,16483,13540,2832,16799
"274",1e+05,4252,1e+05,7835,6414,3559,3555,5470,27154,15017,4326,12098,12247,7721,5033,15312,3512,2577,7087,3265,13560,5677,3196,7337,9060,6447,7318,14634
"275",4798,15729,17951,6881,22569,15815,3554,7103,5859,30775,6559,14827,12577,19550,16676,9443,5048,9877,10028,8477,5433,7862,12078,13722,10614,6132,26375,7417
"276",3087,4588,3126,2871,2747,4102,5257,15950,3254,5416,3956,3321,23986,15227,5264,3566,83785,10575,2673,4453,10713,11873,3681,8569,8373,7164,3566,12208
"277",2955,15487,3759,3863,34821,3453,6351,4850,4331,15888,7205,4666,44674,25737,11349,4573,7786,8052,6361,4198,22723,6986,5404,23665,22159,19388,3182,7124
"278",8560,7027,26852,43055,16659,3834,13300,6079,16439,3718,3974,4036,3857,4496,3925,3145,6325,2671,9516,5038,14531,21788,13181,5433,2810,10492,6557,3938
"279",29925,7141,5165,10017,3374,3028,9958,4940,4802,7148,2712,4643,3823,17659,2649,5674,2994,12562,5285,16054,3069,6958,13011,12264,3870,3563,9033,12866
"280",10334,5422,4110,8620,17435,3510,21146,3655,3198,16442,23429,5933,20407,2860,10999,18610,3806,8422,15158,7400,22263,27746,3623,5739,3642,6453,21458,5611
"281",2628,6932,10239,5870,9126,3139,13155,23524,10917,17599,8818,2560,4173,14561,7834,18576,10489,28908,3833,2717,3895,6287,15035,20447,13418,17793,3898,15441
"282",13260,2864,5239,3679,9592,23053,20338,27529,9115,7734,6681,13658,13040,25654,4771,17416,3906,6063,5215,18992,12975,22799,4920,6501,5558,13384,7709,22225
"283",13648,10612,3844,22503,8225,3169,5953,4650,2607,79774,8557,11111,10378,6080,2540,6108,20130,3776,14645,32237,4196,5689,3084,24721,4183,7619,5251,5181
"284",7670,2610,19091,5373,4188,23258,1e+05,12794,38072,3790,10071,5972,8876,16704,7662,3066,15826,22912,8766,4943,3114,33268,6870,6695,31690,11889,10913,15503
"285",4619,2564,16125,9169,14585,7924,49010,9395,11803,5911,3413,18211,17246,9657,5996,4550,11979,34359,11123,3927,3132,8802,10982,5100,18231,6092,14223,2926
"286",3250,17636,1e+05,2481,25960,6478,3813,7621,13957,9407,10700,12832,14989,71655,6951,10361,9101,11435,16349,18671,11225,5450,2886,5763,15216,13581,4073,3315
"287",28870,2530,7432,12328,13575,10129,13014,5812,10652,15479,11633,25539,7797,4206,9946,19599,7930,12189,37271,4171,6523,7332,9691,3196,13716,9399,2046,1e+05
"288",13399,6728,3701,7912,6112,8697,4003,2417,4935,10504,3110,12089,15865,2637,20719,12923,8533,9335,4541,2468,3680,7254,2576,9404,2876,21549,4169,4269
"289",6747,13820,18797,2455,4836,7216,3866,11734,12302,3363,6429,8717,6132,4100,16521,69939,2426,5070,5175,22038,10267,8812,10465,11092,5720,21010,11034,5387
"290",2651,39410,17344,8231,27667,13676,3028,11428,36620,89961,31134,5360,3155,5893,2902,15093,7019,18423,6378,3412,1e+05,10164,26286,9397,7149,4369,23450,2708
"291",11523,47859,4712,7381,20026,4529,5499,20251,3073,24794,2540,3141,7267,7141,31617,7715,9070,37308,9337,4679,13452,8968,7177,2585,9652,20590,9166,2941
"292",2601,10779,14130,3515,2524,14259,8772,13868,4217,19907,6823,3640,3961,50955,13767,21710,41137,5849,2942,46401,36596,4861,21823,5993,2595,9408,8573,6869
"293",3145,1e+05,9268,18504,3481,4469,7248,6893,9736,7930,12267,7723,11612,16083,45338,16684,9281,19998,9484,20035,8381,4983,5904,6783,3191,20938,3372,13625
"294",12817,8856,6414,4814,13569,3084,4695,8353,4898,3004,11067,33171,2472,14685,9864,20255,6335,7713,3181,5687,4636,13893,6266,20307,6583,26536,2145,6113
"295",13707,4319,3654,7992,11634,6309,2807,8250,18375,2771,14565,3378,5329,3392,21270,28415,44169,2808,82471,59531,3188,14078,7614,28813,4423,6637,11326,6339
"296",38914,10482,5162,8559,9196,5444,5205,5716,13842,8463,13940,12017,4659,4564,5655,6746,5734,3193,17105,12098,3316,6367,16754,3534,33044,6284,17439,4854
"297",6429,27171,6950,3326,22003,6291,6274,29733,18515,3141,3868,18591,3103,3106,13272,5624,6097,11660,10563,4995,9505,4021,2821,2965,11414,4199,11844,15586
"298",8164,5466,12938,22922,5206,11613,5773,6565,26255,3565,3036,12006,2656,79157,8727,15178,12645,5148,5381,3089,23057,4026,6827,8630,8920,15796,13245,9898
"299",93124,61837,10852,11618,2544,4355,60226,7249,4996,5721,5493,16807,7091,3968,10495,2705,5436,3124,9043,3252,15691,27995,2985,9957,33068,12987,15824,3720
"300",9542,10454,6851,4161,6317,8852,4087,5559,3487,24098,10110,8915,3120,4708,2417,9921,12179,7178,3616,5867,17847,3625,12670,3828,5888,8134,18402,17151
"301",6576,6087,4613,81782,9816,11371,2465,8003,28831,7879,4525,3308,9063,8724,3014,3177,6994,3056,8919,5084,8626,14045,4329,30468,31244,3025,3264,10344
"302",2876,4788,2464,15920,16510,11957,5122,1e+05,3690,8378,3147,9589,4690,27650,18425,4500,14606,12982,8024,14608,6931,6080,5361,32042,27284,6841,2523,8656
"303",1e+05,12722,3187,4589,3472,5605,8804,7259,2462,5522,3037,5687,17621,10271,8849,12789,2567,17058,9451,8388,17603,7946,5634,3593,21084,11167,15401,12689
"304",1e+05,3690,9536,3592,31966,4493,9151,4674,3276,23672,33760,4492,3017,3597,6457,4372,8252,5292,38363,5135,2960,4956,21538,2583,2432,6635,28951,12975
"305",5487,41135,18387,33115,4161,12688,6820,10945,19798,7360,4176,6517,12533,14376,15584,3353,3818,12446,4686,5024,8749,4697,8534,16514,9470,19601,65923,19527
"306",17542,4363,17664,4423,4822,8148,5623,4069,6756,4125,2992,3755,6804,8451,1e+05,61566,11373,10673,6209,4448,14301,8045,6839,2822,3959,4742,22099,12128
"307",3367,49093,31429,4960,2749,4468,28831,5774,9044,6913,11202,4106,59601,19261,4445,3672,6980,7459,34916,6440,20096,5210,4683,10109,7433,81533,44306,3057
